Rank,Title,Year,Director,Canon Score,TMDB Rating
1,Millennium Mambo,2001,Hou Hsiao-hsien,100,7.011
2,Hope,2013,Lee Joon-ik,100,8.397
3,Il Sorpasso,1962,Dino Risi,100,8.223
4,Once Upon a Time in the West,1968,Sergio Leone,100,8.283
5,Howl's Moving Castle,2004,Hayao Miyazaki,100,8.4
6,Rear Window,1954,Alfred Hitchcock,100,8.348
7,Night and Fog,1959,Alain Resnais,100,8.235
8,We All Loved Each Other So Much,1974,Ettore Scola,100,8.285
9,Mirror,1975,Andrei Tarkovsky,100,7.945
10,Witness for the Prosecution,1957,Billy Wilder,100,8.215
11,Paths of Glory,1957,Stanley Kubrick,100,8.26
12,High and Low,1963,Akira Kurosawa,100,8.343
13,Princess Mononoke,1997,Hayao Miyazaki,100,8.3
14,Psycho,1960,Alfred Hitchcock,100,8.421
15,The Shining,1980,Stanley Kubrick,100,8.206
16,Seven Samurai,1954,Akira Kurosawa,100,8.452
17,Oldboy,2003,Park Chan-wook,100,8.244
18,The Pianist,2002,Roman Polanski,100,8.379
19,Hiroshima Mon Amour,1959,Alain Resnais,100,7.687
20,8½,1963,Federico Fellini,100,8.121
21,City Lights,1931,Charlie Chaplin,100,8.262
22,Grand Illusion,1937,Jean Renoir,100,7.866
23,Ikiru,1952,Akira Kurosawa,100,8.316
24,The Great Dictator,1940,Charlie Chaplin,100,8.3
25,Parasite,2019,Bong Joon Ho,100,8.495
26,Apocalypse Now,1979,Francis Ford Coppola,100,8.268
27,City of God,2002,Fernando Meirelles,100,8.426
28,Spirited Away,2001,Hayao Miyazaki,100,8.533
29,Sunset Boulevard,1950,Billy Wilder,100,8.288
30,Modern Times,1936,Charlie Chaplin,100,8.284
31,A Brighter Summer Day,1991,Edward Yang,100,8.3
32,Lost Highway,1997,David Lynch,99,7.547
33,Wings of Desire,1987,Wim Wenders,99,7.772
34,Persona,1966,Ingmar Bergman,97,8.141
35,Shoplifters,2018,Hirokazu Kore-eda,97,7.847
36,L'Eclisse,1962,Michelangelo Antonioni,96,7.7
37,"Rome, Open City",1945,Roberto Rossellini,96,8.02
38,The Trial,1962,Orson Welles,96,7.4
39,Three Colors: Red,1994,Krzysztof Kieślowski,96,7.911
40,Jules and Jim,1962,François Truffaut,96,7.5
41,Marriage Italian Style,1964,Vittorio De Sica,96,7.704
42,Amarcord,1973,Federico Fellini,96,7.897
